'CODIGO';'VALOR'
'H13';'Trastornos de la conjuntiva en enfermedades clasificadas en otra parte'
'H15';'Trastornos de la esclerótica'
'H16';'Queratitis'
'H17';'Opacidades y cicatrices corneales'
'H18';'Otros trastornos de la córnea'
'H19';'Trastornos de la esclerótica y de la córnea en enfermedades clasificadas en otra parte'
'H20';'Iridociclitis'
'H21';'Otros trastornos del iris y del cuerpo ciliar'
'H22';'Trastornos del iris y del cuerpo ciliar en enfermedades clasificadas en otra parte'
'H25';'Catarata senil'
'H26';'Otras cataratas'
'H27';'Otros trastornos del cristalino'
'H28';'Catarata y otros trastornos del cristalino en enfermedades clasificadas en otra parte'
'H30';'Inflamación coriorretiniana'
'H31';'Otros trastornos de la coroides'
'H32';'Trastornos coriorretinianos en enfermedades clasificadas en otra parte'
'H33';'Desprendimiento y desgarro de la retina'
'H34';'Oclusión vascular de la retina'
'H35';'Otros trastornos de la retina'
'H36';'Trastornos de la retina en enfermedades clasificadas en otra parte'
'H40';'Glaucoma'
'H42';'Glaucoma en enfermedades clasificadas en otra parte'
'H43';'Trastornos del cuerpo vítreo'
'H44';'Trastornos del globo ocular'
'H45';'Trastornos del cuerpo vítreo y del globo ocular en enfermedades clasificadas en otra parte'
'H46';'Neuritis óptica'
'H47';'Otros trastornos del nervio óptico [II par] y de las vías ópticas'
'H48';'Trastornos del nervio óptico [II par] y de las vías ópticas en enfermedades clasificadas en otra parte'
'H49';'Estrabismo paralítico'
'H50';'Otros estrabismos'
'H51';'Otros trastornos de los movimientos binoculares'
'H52';'Trastornos de la acomodación y de la refracción'
'H53';'Alteraciones de la visión'
'H54';'Ceguera y deficiencia visual (binicular o monocular)'
'H55';'Nistagmo y otros movimientos oculares irregulares'
'H57';'Otros trastornos del ojo y sus anexos'
'H58';'Otros trastornos del ojo y sus anexos en enfermedades clasificadas en otra parte'
'H59';'Trastornos del ojo y sus anexos consecutivos a procedimientos no clasificados en otra parte'
'H60';'Otitis externa'
'H61';'Otros trastornos del oído externo'
'H62';'Trastornos del oído externo en enfermedades clasificadas en otra parte'
'H65';'Otitis media no supurativa'
'H66';'Otitis media supurativa y la no especificada'
'H67';'Otitis media en enfermedades clasificadas en otra parte'
'H68';'Inflamación y obstrucción de la trompa de Eustaquio'
'H69';'Otros trastornos de la trompa de Eustaquio'
'H70';'Mastoiditis y afecciones relacionadas'
'H71';'Colesteatoma del oído medio'
'H72';'Perforación de la membrana timpánica'
'H73';'Otros trastornos de la membrana timpánica'
'H74';'Otros trastornos del oído medio y de la apófisis mastoides'
'H75';'Otros trastornos del oído medio y de la apófisis mastoides en enfermedades clasificadas en otra parte'
'H80';'Otosclerosis'
'H81';'Trastornos de la función vestibular'
'H82';'Síndromes vertiginosos en enfermedades clasificadas en otra parte'
'H83';'Otros trastornos del oído interno'
'H90';'Hipocausia conductiva y neurosensorial'
'H91';'Otras hipoacusias'
'H92';'Otalgia y secreción del oído'
'H93';'Otros trastornos del oído no clasificados en otra parte'
'H94';'Otros trastornos del oído en enfermedades clasificadas en otra parte'
'H95';'Trastornos del oído y de la apófisis mastoides consecutivos a procedimientos no clasificados en otra parte'
'I00';'Fiebre reumática sin mención de complicación cardíaca'
'I01';'Fiebre reumática con complicación cardíaca'
'I02';'Corea reumática'
'I05';'Enfermedades reumáticas de la válvula mitral'
'I06';'Enfermedades reumáticas de la válvula aórtica'
'I07';'Enfermedades reumáticas de la válvula tricúspide'
'I08';'Enfermedades valvulares múltiples'
'I09';'Otras enfermedades reumáticas del corazón'
'I10';'Hipertensión esencial (primaria)'
'I11';'Enfermedad cardíaca hipertensiva'
'I12';'Enfermedad renal hipertensiva'
'I13';'Enfermedad cardiorrenal hipertensiva'
'I15';'Hipertensión secundaria'
'I20';'Angina de pecho'
'I21';'Infarto agudo del miocardio'
'I22';'Infarto subsecuente del miocardio'
'I23';'Ciertas complicaciones presentes posteriores al infarto agudo del miocardio'
'I24';'Otras enfermedades isquémicas agudas del corazón'
'I25';'Enfermedad isquémica crónica del corazón'
'I26';'Embolia pulmonar'
'I27';'Otras enfermedades cardiopulmonares'
'I28';'Otras enfermedades de los vasos pulmonares'
'I30';'Pericarditis aguda'
'I31';'Otras enfermedades del pericardio'
'I32';'Pericarditis en enfermedades clasificadas en otra parte'
'I33';'Endocarditis aguda y subaguda'
'I34';'Trastornos no reumáticos de la válvula mitral'
'I35';'Trastornos no reumáticos de la válvula aórtica'
'I36';'Trastornos no reumáticos de la válvula tricúspide'
'I37';'Trastornos de la válvula pulmonar'
'I38';'Endocarditis válvula no especificada'
'I39';'Endocarditis y trastornos valvulares en enfermedades clasificadas en otra parte'
'I40';'Miocarditis aguda'
'I41';'Miocarditis en enfermedades clasificadas en otra parte'
'I42';'Cardiomiopatía'
'I43';'Cardiomiopatía en enfermedades clasificadas en otra parte'
'I44';'Bloqueo auriculoventricular y de rama izquierda del haz'
'I45';'Otros trastornos de la conducción'
'I46';'Paro cardíaco'
'I47';'Taquicardia paroxística'
'I48';'Fibrilación y aleteo auricular'
'I49';'Otras arritmias cardiacas'
'I50';'Insuficiencia cardíaca'
'I51';'Complicaciones y descripciones mal definidas de enfermedad cardíaca'
'I52';'Otros trastornos cardíacos en enfermedades clasificadas en otra parte'
'I60';'Hemorragia subaracnoidea'
'I61';'Hemorragia intraencefálica'
'I62';'Otras hemorragias intracraneales no traumáticas'
'I63';'Infarto cerebral'
'I64';'Accidente vascular encefálico agudo no especificado como hemorrágico o isquémico'
'I65';'Oclusión y estenosis de las arterias precerebrales sin  ocasionar infarto cerebral'
'I66';'Oclusión y estenosis de las arterias cerebrales sin  ocasionar infarto cerebral'
'I67';'Otras enfermedades cerebrovasculares'
'I68';'Trastornos cerebrovasculares en enfermedades clasificadas en otra parte'
'I69';'Secuelas de enfermedad cerebrovascular'
'I70';'Aterosclerosis'
'I71';'Aneurisma y disección aórticos'
'I72';'Otros aneurismas y aneurismas disecantes'
'I73';'Otras enfermedades vasculares periféricas'
'I74';'Embolia y trombosis arteriales'
'I77';'Otros trastornos arteriales o arteriolares'
'I78';'Enfermedades de los vasos capilares'
'I79';'Trastornos de las arterias de las arteriolas y de los vasos capilares en enfermedades clasificadas en otra parte'
'I80';'Flebitis y tromboflebitis'
'I81';'Trombosis de la vena porta'
'I82';'Otras embolias y trombosis venosas'
'I83';'Venas varicosas de los miembros inferiores'
'I85';'Várices esofágicas'
'I86';'Várices de otros sitios'
'I87';'Otros trastornos de las venas'
'I88';'Linfadenitis inespecífica'
'I89';'Otros trastornos no infecciosos de los vasos y ganglios linfáticos'
'I95';'Hipotensión'
'I97';'Trastornos del sistema circulatorio consecutivos a procedimientos no clasificados en otra parte'
'I98';'Otros trastornos del sistema circulatorio en enfermedades clasificadas en otra parte'
'I99';'Otros trastornos y los no especificados del sistema circulatorio'
'J00';'Rinofaringitis aguda [resfriado común]'
'J01';'Sinusitis aguda'
'J02';'Faringitis aguda'
'J03';'Amigdalitis aguda'
'J04';'Laringitis y traqueítis agudas'
'J05';'Laringitis obstructiva aguda [crup] y epiglotitis'
'J06';'Infecciones agudas de las vías respiratorias superiores de sitios múltiples o no especificados'
'J09';'Influenza debida a ciertos virus de la influenza identificados'
'J10';'Influenza debida a otro virus de la influenza identificado'
'J11';'Influenza debida a virus no identificado'
'J12';'Neumonía viral no clasificada en otra parte'
'J13';'Neumonía debida a Streptococcus pneumoniae'
'J14';'Neumonía debida a Haemophilus influenzae'
'J15';'Neumonía bacteriana no clasificada en otra parte'
'J16';'Neumonía debida a otros microorganismos infecciosos no clasificados en otra parte'
'J17';'Neumonía en enfermedades clasificadas en otra parte'
'J18';'Neumonía organismo no especificado'
'J20';'Bronquitis aguda'
'J21';'Bronquiolitis aguda'
'J22';'Infección aguda no especificada de las vías respiratorias inferiores'
'J30';'Rinitis alérgica y vasomotora'
'J31';'Rinitis rinofaringitis y faringitis crónicas'
'J32';'Sinusitis crónica'
'J33';'Pólipo nasal'
'J34';'Otros trastornos de la nariz y de los senos paranasales'
'J35';'Enfermedades crónicas de las amígdalas y de las adenoides'
'J36';'Absceso periamigdalino'
'J37';'Laringitis y laringotraqueítis crónicas'
'J38';'Enfermedades de las cuerdas vocales y de la laringe no clasificadas en otra parte'
'J39';'Otras enfermedades de las vías respiratorias superiores'
'J40';'Bronquitis no especificada como aguda o crónica'
'J41';'Bronquitis crónica simple y mucopurulenta'
'J42';'Bronquitis crónica no especificada'
'J43';'Enfisema'
'J44';'Otras enfermedades pulmonares obstructivas crónicas'
'J45';'Asma'
'J46';'Estado asmático'
'J47';'Bronquiectasia'
'J60';'Neumoconiosis de los mineros del carbón'
'J61';'Neumoconiosis debida al asbesto y a otras fibras minerales'
'J62';'Neumoconiosis debida a polvo de sílice'
'J63';'Neumoconiosis debida a otros polvos inorgánicos'
'J64';'Neumoconiosis no especificada'
'J65';'Neumoconiosis asociada con tuberculosis'
'J66';'Enfermedades de las vías aéreas debidas a polvos orgánicos específicos'
'J67';'Neumonitis debida a hipersensibilidad al polvo orgánico'
'J68';'Afecciones respiratorias debidas a inhalación de gases humos vapores y sustancias químicas'
'J69';'Neumonitis debida a sólidos y líquidos'
'J70';'Afecciones respiratorias debidas a otros agentes externos'
'J80';'Síndrome de dificultad respiratoria del adulto'
'J81';'Edema pulmonar'
'J82';'Eosinofilia pulmonar no clasificada en otra parte'
'J84';'Otras enfermedades pulmonares intersticiales'
'J85';'Absceso del pulmón y del mediastino'
'J86';'Piotórax'
'J90';'Derrame pleural no clasificado en otra parte'
'J91';'Derrame pleural en afecciones clasificadas en otra parte'
'J92';'Paquipleuritis'
'J93';'Neumotórax'
'J94';'Otras afecciones de la pleura'
'J95';'Trastornos del sistema respiratorio consecutivos a procedimientos no clasificados en otra parte'
'J96';'Insuficiencia respiratoria no clasificada en otra parte'
'J98';'Otros trastornos respiratorios'
'J99';'Trastornos respiratorios en enfermedades clasificadas en otra parte'
'K00';'Trastornos del desarrollo y de la erupción de los dientes'
'K01';'Dientes incluidos e impactados'
'K02';'Caries dental'
'K03';'Otras enfermedades de los tejidos duros de los dientes'
'K04';'Enfermedades de la pulpa y de los tejidos periapicales'
'K05';'Gingivitis y enfermedades periodontales'
'K06';'Otros trastornos de la encía y de la zona edéntula'
'K07';'Anomalías dentofaciales (incluso la maloclusión)'
'K08';'Otros trastornos de los dientes y de sus estructuras de sostén'
'K09';'Quites de la región bucal no clasificados en otra parte'
'K10';'Otras enfermedades de los maxilares'
'K11';'Enfermedades de las glándulas salivales'
'K12';'Estomatitis y lesiones afines'
'K13';'Otras enfermedades de los labios y de la mucosa bucal'
'K14';'Enfermedades de la lengua'
'K20';'Esofagitis'
'K21';'Enfermedad del reflujo gastroesofágico'
'K22';'Otras enfermedades del esófago'
'K23';'Trastornos del esófago en enfermedades clasificadas en otra parte'
'K25';'Úlcera gástrica'
'K26';'Úlcera duodenal'
'K27';'Úlcera péptica de sitio no especificado'
'K28';'Úlcera gastroyeyunal'
'K29';'Gastritis y duodenitis'
'K30';'Dispepsia funcional'
'K31';'Otras enfermedades del estómago y del duodeno'
'K35';'Apendicitis aguda'
'K36';'Otros tipos de apendicitis'
'K37';'Apendicitis no especificada'
'K38';'Otras enfermedades del apéndice'
'K40';'Hernia inguinal'
'K41';'Hernia femoral'
'K42';'Hernia umbilical'
'K43';'Hernia ventral'
'K44';'Hernia diafragmática'
'K45';'Otras hernias de la cavidad abdominal'
'K46';'Hernia no especificada de la cavidad abdominal'
'K50';'Enfermedad de Crohn [enteritis regional]'
'K51';'Colitis Ulcerativa'
'K52';'Otras colitis y gastroenteritis no infecciosas'
'K55';'Trastornos vasculares de los intestinos'
'K56';'Ileo paralítico y obstrucción intestinal sin hernia'
'K57';'Enfermedad diverticular del intestino'
'K58';'Síndrome del colon irritable'
'K59';'Otros trastornos funcionles del intestino'
'K60';'Fisura y fístula de las regiones anal y rectal'
'K61';'Absceso de las regiones anal y rectal'
'K62';'Otras enfermedades del ano y del recto'
'K63';'Otras enfermedades de los intestinos'
'K64';'Hemorroides y trombosis venosa perianal'
'K65';'Peritonitis'
'K66';'Otros trastornos del peritoneo'
'K67';'Trastornos del peritoneo en enfermedades infecciosas clasificadas en otra parte'
'K70';'Enfermedad alcohólica del hígado'
'K71';'Enfermedad tóxica del hígado'
'K72';'Insuficiencia hepática no clasificada en otra parte'
'K73';'Hepatitis crónica no clasificada en otra parte'
'K74';'Fibrosis y cirrosis del hígado'
'K75';'Otras enfermedades inflamatorias del hígado'
'K76';'Otras enfermedades del hígado'
'K77';'Trastornos del hígado en enfermedades clasificadas en otra parte'
'K80';'Colelitiasis'
'K81';'Colecistitis'
'K82';'Otras enfermedades de la vesícula biliar'
'K83';'Otras enfermedades de las vías biliares'
'K85';'Pancreatitis aguda'
'K86';'Otras enfermedades del páncreas'
'K87';'Trastornos de la vesícula biliar de las vías biliares y del páncreas en enfermedades clasificadas en otra parte'
'K90';'Malabsorción intestinal'
'K91';'Trastornos del sistema digestivo consecutivos a procedimientos no clasificados en otra parte'
'K92';'Otras enfermedades del sistema digestivo'
'K93';'Trastornos de otros órganos digestivos en enfermedades clasificadas en otra parte'
'L00';'Síndrome estafilocócico de la piel escaldada'
'L01';'Impétigo'
'L02';'Absceso cutáneo furúnculo y ántrax'
'L03';'Celulitis'
'L04';'Linfadenitis aguda'
'L05';'Quiste pilonidal'
'L08';'Otras infecciones locales de la piel y del tejido subcutáneo'
'L10';'Pénfigo'
'L11';'Otros trastornos acantolíticos'
'L12';'Penfigoide'
'L13';'Otros trastornos flictenulares'
'L14';'Trastornos flictenulares en enfermedades clasificadas en otra parte'
'L20';'Dermatitis atópica'
'L21';'Dermatitis seborreica'
'L22';'Dermatitis del pañal'
'L23';'Dermatitis alérgica de contacto'
'L24';'Dermatitis de contacto por irritantes'
'L25';'Dermatitis de contacto forma no especificada'
'L26';'Dermatitis exfoliativa'
'L27';'Dermatitis debida a sustancias ingeridas'
'L28';'Liquen simple crónico y prurigo'
'L29';'Prurito'
'L30';'Otras dermatitis'
'L40';'Psoriasis'
'L41';'Parapsoriasis'
'L42';'Pitiriasis rosada'
'L43';'Liquen plano'
'L44';'Otros trastornos papuloescamosos'
'L45';'Trastornos papuloescamosos en enfermedades clasificadas en otra parte'
'L50';'Urticaria'
'L51';'Eritema multiforme'
'L52';'Eritema nudoso'
'L53';'Otras afecciones eritematosas'
'L54';'Eritema en enfermedades clasificadas en otra parte'
'L55';'Quemadura solar'
'L56';'Otros cambios agudos de la piel debidos a radiación ultravioleta'
'L57';'Cambios de la piel debidos a exposición crónica a radiación no ionizante'
'L58';'Radiodermatitis'
'L59';'Otros trastornos de la piel y del tejido subcutáneo relacionados con radiación'
'L60';'Trastornos de las uñas'
'L62';'Trastornos de las uñas en enfermedades clasificadas en otra parte'
'L63';'Alopecia areata'
'L64';'Alopecia andrógena'
'L65';'Otra pérdida no cicatricial del pelo'
'L66';'Alopecia cicatricial [pérdida cicatricial del pelo]'
'L67';'Anormalidades del tallo y del color del pelo'
'L68';'Hipertricosis'
'L70';'Acné'
'L71';'Rosásea'
'L72';'Quiste folicular de la piel y del tejido subcutáneo'
'L73';'Otros trastornos foliculares'
'L74';'Trastornos sudoríparos ecrinos'
'L75';'Trastornos sudoríparos apocrinos'
'L80';'Vitíligo'
'L81';'Otros trastornos de la pigmentación'
'L82';'Queratosis seborreica'
'L83';'Acantosis nigricans'
'L84';'Callos y callosidades'
'L85';'Otros tipos de engrosamiento epidérmico'
'L86';'Queratoderma en enfermedades clasificadas en otra parte'
'L87';'Trastornos de la eliminación transepidérmica'
'L88';'Pioderma gangrenoso'
'L89';'Úlcera de decúbito y por área de presión'
'L90';'Trastornos atróficos de la piel'
'L91';'Trastornos hipertróficos de la piel'
'L92';'Trastornos granulomatosos de la piel y del tejido subcutáneo'
'L93';'Lupus eritematoso'
'L94';'Otros trastornos localizados del tejido conjuntivo'
'L95';'Vasculitis limitada a la piel no clasificada en otra parte'
'L97';'Úlcera de miembro inferior no clasificada en otra parte'
'L98';'Otros trastornos de la piel y del tejido subcutáneo no clasificados en otra parte'
'L99';'Otros trastornos de la piel y del tejido subcutáneo en enfermedades clasificadas en otra parte'
'M00';'Artritis piógena'
'M01';'Infecciones directas de la articulación en enfermedades infecciosas y parasitarias clasificadas en otra parte'
'M02';'Artropatías reactivas'
'M03';'Artropatías postinfecciosas y reactivas en enfermedades clasificadas en otra parte'
'M05';'Artritis reumatoide seropositiva'
'M06';'Otras artritis reumatoides'
'M07';'Artropatías psoriásicas y enteropáticas'
'M08';'Artritis juvenil'
'M09';'Artritis juvenil en enfermedades clasificadas en otra parte'
'M10';'Gota'
'M11';'Otras artropatías por cristales'
'M12';'Otras artropatías específicas'
'M13';'Otras artritis'
'M14';'Artropatía en otras enfermedades clasificadas en otra parte'
'M15';'Poliartrosis'
'M16';'Coxartrosis [artrosis de la cadera]'
'M17';'Gonartrosis [artrosis de la rodilla]'
'M18';'Artrosis de la primera articulación carpometacarpiana'
'M19';'Otras artrosis'
'M20';'Deformidades adquiridas de los dedos de la mano y del pie'
'M21';'Otras deformidades adquiridas de los miembros'
'M22';'Trastornos de la rótula'
'M23';'Trastorno interno de la rodilla'
'M24';'Otros trastornos articulares específicos'
'M25';'Otros trastornos articulares no clasificados en otra parte'
'M30';'Poliarteritis nudosa y afecciones relacionadas'
'M31';'Otras vasculopatías necrotizantes'
'M32';'Lupus eritematoso sistémico'
'M33';'Dermatopolimiositis'
'M34';'Esclerosis sistémica'
'M35';'Otro compromiso sistémico del tejido conjuntivo'
'M36';'Trastornos sistémicos del tejido conjuntivo en enfermedades clasificadas en otra parte'
'M40';'Cifosis y lordosis'
'M41';'Escoliosis'
'M42';'Osteocondrosis de la columna vertebral'
'M43';'Otras dorsopatías deformantes'
'M45';'Espondilitis anquilosante'
'M46';'Otras espondilopatías inflamatorias'
'M47';'Espondilosis'
'M48';'Otras espondilopatías'
'M49';'Espondilopatías en enfermedades clasificadas en otra parte'
'M50';'Trastornos de disco cervical'
'M51';'Otros trastornos de los discos intervertebrales'
'M53';'Otras dorsopatías no clasificadas en otra parte'
'M54';'Dorsalgia'
'M60';'Miositis'
'M61';'Calcificación y osificación del músculo'
'M62';'Otros trastornos de los músculos'
'M63';'Trastornos de los músculos en enfermedades clasificadas en otra parte'
'M65';'Sinovitis y tenosinovitis'
'M66';'Ruptura espontánea de la sinovia y del tendón'
'M67';'Otros trastornos de la sinovia y del tendón'
'M68';'Trastornos de los tendones y de la sinovia en enfermedades clasificadas en otra parte'
'M70';'Trastornos de los tejidos blandos relacionados con el uso el uso excesivo y la presión'
'M71';'Otras bursopatías'
'M72';'Trastornos fibroblásticos'
'M73';'Trastornos de los tejidos blandos en enfermedades clasificadas en otra parte'
'M75';'Lesiones del hombro'
'M76';'Entesopatías del miembro inferior excluido el pie'
'M77';'Otras entesopatías'
'M79';'Otros trastornos de los tejidos blandos no clasificados en otra parte'
'M80';'Osteoporosis con fractura patológica'
'M81';'Osteoporosis sin fractura patológica'
'M82';'Osteoporosis en enfermedades clasificadas en otra parte'
'M83';'Osteomalacia del adulto'
'M84';'Trastornos de la continuidad del hueso'
'M85';'Otros trastornos de la densidad y de la estructura óseas'
'M86';'Osteomielitis'
'M87';'Osteonecrosis'
'M88';'Enfermedad de Paget de los huesos [osteítis deformante]'
'M89';'Otros trastornos del hueso'
'M90';'Osteopatías en enfermedades clasificadas en otra parte'
'M91';'Osteocondrosis juvenil de la cadera y de la pelvis'
'M92';'Otras osteocondrosis juveniles'
'M93';'Otras osteocondropatías'
'M94';'Otros trastornos del cartílago'
'M95';'Otras deformidades adquiridas del sistema osteomuscular y del tejido conjuntivo'
'M96';'Trastornos osteomusculares consecutivos a procedimientos no clasificados en otra parte'
'M99';'Lesiones biomecánicas no clasificadas en otra parte'
'N00';'Síndrome nefrítico agudo'
'N01';'Síndrome nefrítico rápidamente progresivo'
'N02';'Hematuria recurrente y persistente'
'N03';'Síndrome nefrítico crónico'
'N04';'Síndrome nefrótico'
'N05';'Síndrome nefrítico no especificado'
'N06';'Proteinuria aislada con lesión morfológica especificada'
'N07';'Nefropatía hereditaria no clasificada en otra parte'
'N08';'Trastornos glomerulares en enfermedades clasificadas en otra parte'
'N10';'Nefritis tubulointersticial aguda'
'N11';'Nefritis  tubulointersticial crónica'
'N12';'Nefritis tubulointersticial no especificada como aguda o crónica'
'N13';'Uropatía obstructiva y por reflujo'
'N14';'Afecciones tubulares y tubulointersticiales inducidas por drogas y por metales pesados'
'N15';'Otras enfermedades renales tubulointersticiales'
'N16';'Trastornos renales tubulointersticiales en enfermedades clasificadas en otra parte'
'N17';'Insuficiencia renal aguda'
'N18';'Enfermedad renal crónica'
'N19';'Insuficiencia renal no especificada'
'N20';'Cálculo del riñón y del uréter'
'N21';'Cálculo de las vías urinarias inferiores'
'N22';'Cálculo de las vías urinarias en enfermedades clasificadas en otra parte'
'N23';'Cólico renal no especificado'
'N25';'Trastornos resultantes de la función tubular renal alterada'
'N26';'Riñón contraído no especificado'
'N27';'Riñón pequeño de causa desconocida'
'N28';'Otros trastornos del riñón y del uréter no clasificados en otra parte'
'N29';'Otros trastornos del riñón y del uréter en enfermedades clasificadas en otra parte'
'N30';'Cistitis'
'N31';'Disfunción neuromuscular de la vejiga no clasificada en otra parte'
'N32';'Otros trastornos de la vejiga'
'N33';'Trastornos de la vejiga en enfermedades clasificadas en otra parte'
'N34';'Uretritis y síndrome uretral'
'N35';'Estrechez uretral'
'N36';'Otros trastornos de la uretra'
'N37';'Trastornos de la uretra en enfermedades clasificadas en otra parte'
'N39';'Otros trastornos del sistema urinario'
'N40';'Hiperplasia de la próstata'
'N41';'Enfermedades inflamatorias de la próstata'
'N42';'Otros trastornos de la próstata'
'N43';'Hidrocele y espermatocele'
'N44';'Torsión del testículo'
'N45';'Orquitis y epididimitis'
'N46';'Esterilidad en el varón'
'N47';'Prepucio redundante fimosis y parafimosis'
'N48';'Otros trastornos del pene'
'N49';'Trastornos inflamatorios de órganos genitales masculinos no clasificados en otra parte'
'N50';'Otros trastornos de los órganos genitales masculinos'
'N51';'Trastornos de los órganos genitales masculinos en enfermedades clasificadas en otra parte'
'N60';'Displasia mamaria benigna'
'N61';'Trastornos inflamatorios de la mama'
'N62';'Hipertrofia de la mama'
'N63';'Masa no especificada en la mama'
'N64';'Otros trastornos de la mama'
'N70';'Salpingitis y ooforitis'
'N71';'Enfermedad inflamatoria del útero excepto del cuello uterino'
'N72';'Enfermedad inflamatoria del cuello uterino'
'N73';'Otras enfermedades pélvicas inflamatorias femeninas'
'N74';'Trastornos inflamatorios de la pelvis femenina en enfermedades clasificadas en otra parte'
'N75';'Enfermedades de la glándula de Bartholin'
'N76';'Otras afecciones inflamatorias de la vagina y de la vulva'
'N77';'Ulceración e inflamación vulvovaginal en enfermedades clasificadas en otra parte'
'N80';'Endometriosis'
'N81';'Prolapso genital femenino'
'N82';'Fístulas que afectan el tracto genital femenino'
'N83';'Tratornos no inflamatorios del ovario de la trompa de Falopio y del ligamento ancho'
'N84';'Pólipo del tracto genital femenino'
'N85';'Otros trastornos no inflamatorios del útero excepto del cuello'
'N86';'Erosión y ectropión del cuello del útero'
'N87';'Displasia del cuello uterino'
'N88';'Otros trastornos no inflamatorios del cuello del útero'
'N89';'Otros trastornos no inflamatorios de la vagina'
'N90';'Otros trastornos no inflamatorios de la vulva y del perineo'
'N91';'Menstruación ausente escasa o rara'
'N92';'Menstruación excesiva frecuente e irregular'
'N93';'Otras hemorragias uterinas o vaginales anormales'
'N94';'Dolor y otras afecciones relacionadas con los órganos genitales femeninos y con el ciclo menstrual'
'N95';'Otros trastornos menopáusicos y perimenopáusicos'
'N96';'Abortadora habitual'
'N97';'Infertilidad femenina'
'N98';'Complicaciones asociadas con la fecundación artificial'
'N99';'Trastornos del sistema genitourinario consecutivos a procedimientos no clasificados en otra parte'
'O00';'Embarazo ectópico'
'O01';'Mola hidatiforme'
'O02';'Otros productos anormales  de la concepción'
'O03';'Aborto espontáneo'
'O04';'Aborto médico'
'O05';'Otro aborto'
'O06';'Aborto no especificado'
'O07';'Intento fallido de aborto'
'O08';'Complicaciones consecutivas al aborto al embarazo ectópico y al embarazo molar'
'O10';'Hipertensión preexistente que complica el embarazo el parto y el puerperio'
'O11';'Preeclampsia superpuesta en hipertensión crónica'
'O12';'Edema y proteinuria gestacionales [inducidos por el embarazo] sin hipertensión'
'O13';'Hipertensión gestacional [inducida por el embarazo]'
'O14';'Preeclampsia'
'O15';'Eclampsia'
'O16';'Hipertensión materna no especificada'
'O20';'Hemorragia precoz del embarazo'
'O21';'Vómitos excesivos del embarazo'
'O22';'Complicaciones venosas y hemorroides en el embarazo'
'O23';'Infección de las vías genitourinarias en el embarazo'
'O24';'Diabetes mellitus en el embarazo'
'O25';'Desnutrición en el embarazo'
'O26';'Atención a la madre por otras complicaciones principalmente relacionadas con el embarazo'
'O28';'Hallazgos anormales en el examen prenatal de la madre'
'O29';'Complicaciones de la anestesia administrada durante el embarazo'
'O30';'Embarazo múltiple'
'O31';'Complicaciones específicas del embarazo múltiple'
'O32';'Atención materna por presentación anormal del feto conocida o presunta'
'O33';'Atención materna por desproporción conocida o presunta'
'O34';'Atención materna por anormalidades conocidas o presuntas de los órganos pelvianos de la madre'
'O35';'Atención materna por anormalidad o lesión fetal conocida o presunta'
'O36';'Atención materna por otros problemas fetales conocidos o presuntos'
'O40';'Polihidramnios'
'O41';'Otros trastornos del líquido amniótico y de las membranas'
'O42';'Ruptura prematura de las membranas'
'O43';'Trastornos placentarios'
'O44';'Placenta previa'
'O45';'Desprendimiento prematuro de la placenta [Abruptio placentae]'
'O46';'Hemorragia anteparto no clasificada en otra parte'
'O47';'Falso trabajo de parto'
'O48';'Embarazo prolongado'
'O60';'Parto prematuro'
'O61';'Fracaso de la inducción del trabajo de parto'
'O62';'Anormalidades de la dinámica del trabajo de parto'
'O63';'Trabajo de parto prolongado'
'O64';'Trabajo de parto obstruido debido a mala posición y presentación anormal del feto'
'O65';'Trabajo de parto obstruido debido a anormalidad de la pelvis materna'
'O66';'Otras obstrucciones del trabajo de parto'
'O67';'Trabajo de parto y parto complicados por hemorragia intraparto no clasificados en otra parte'
'O68';'Trabajo de parto y parto complicados por sufrimiento fetal'
'O69';'Trabajo de parto y parto complicados por problemas del cordón umbilical'
'O70';'Desgarro perineal durante el parto'
'O71';'Otro trauma obstétrico'
'O72';'Hemorragia postparto'
'O73';'Retención de la placenta o de las membranas sin hemorragia'
'O74';'Complicaciones de la anestesia administrada durante el trabajo de parto y el parto'
'O75';'Otras complicaciones del trabajo de parto y del parto no clasificadas en otra parte'
'O80';'Parto único espontáneo'
'O81';'Parto único con fórceps y ventosa extractora'
'O82';'Parto único por cesárea'
'O83';'Otros partos únicos asistidos'
'O84';'Parto múltiple'
'O85';'Sepsis puerperal'
'O86';'Otras infecciones puerperales'
'O87';'Complicaciones venosas y hemorroides en el puerperio'
'O88';'Embolia obstétrica'
'O89';'Complicaciones de la anestesia administrada durante el puerperio'
'O90';'Complicaciones del puerperio no clasificadas en otra parte'
'O91';'Infecciones de la mama asociadas con el parto'
'O92';'Otros trastornos de la mama y de la lactancia asociados con el parto'
'O94';'Secuelas de complicaciones del embarazo del parto y del puerperio'
'O95';'Muerte obstétrica de causa no especificada'
'O96';'Muerte materna debida a cualquier causa obstétrica que ocurre después de 42 días pero antes de un año del parto'
'O97';'Muerte por secuelas de causas obstétricas'
'O98';'Enfermedades maternas infecciosas y parasitarias clasificables en otra parte pero que complican el embarazo el parto y el puerperio'
'O99';'Otras enfermedades maternas clasificables en otra parte pero que complican el embarazo el parto y el puerperio'
'P00';'Feto y recién nacido afectado por condiciones de la madre no necesariamente relacionadas con el embarazo presente'
